Neighborhood,Post_code,latitude,longitude
Albertstadt,01099,51.08322005,13.768607751041845
Altfranken,01156,51.0346362,13.643746989689408
Äußere Neustadt,"01097, 01099",51.0671858,13.7528113
Blasewitz/Neugruna,"01277, 01279, 01307, 01309",51.0440325,13.811145
Briesnitz,"01157, 01169",51.0689312,13.664462209764398
Bühlau/Weißer Hirsch,"01324, 01326",51.0550044,13.850274864650594
Coschütz/Gittersee,01189,51.01265815,13.698454166422117
Cossebaude,01156,51.08864135,13.629128264993017
Cotta,"01157, 01159, 01169",51.0577378,13.6824944
Dresdner Heide,"01099, 01109, 01324",51.0880641,13.86692587621788
Flughafen/Industriegebiet Klotzsche,01109,51.1330982,13.77426517287477
Friedrichstadt,"01067, 01157, 01159",51.061366750000005,13.709535939030081
Gompitz,01156,51.0506784,13.600074395469218
Gönnsdorf/Pappritz,"01326, 01328",51.03695435,13.86030065901695
Gorbitz-Nord/Neu-Omsewitz,"01157, 01169",51.04904135,13.663062030789483
Gorbitz-Ost,"01157, 01159, 01169",51.0465894,13.679455858062216
Gorbitz-Süd,01169,51.044046,13.66497553798387
Großzschachwitz,"01257, 01259",50.9962268,13.842206135315426
Gruna,"01219, 01277, 01309",51.031064799999996,13.779344167901874
Hellerau/Wilschdorf,01109,51.12265465,13.73169397651908
Hellerberge,"01099, 01109, 01127, 01129",51.0978519,13.7471755
Hosterwitz/Pillnitz,01326,51.01121795,13.877164943779267
Innere Altstadt,"01067, 01069",51.0511118,13.739014082923077
Innere Neustadt,"01097, 01099",51.0600782,13.7446283
Johannstadt-Nord,01307,51.057978950000006,13.771147358639148
Johannstadt-Süd,01307,51.04763825,13.7643303942671
Kaditz,01139,51.084459800000005,13.685518200247524
Kleinpestitz/Mockritz,"01189, 01217",51.011046199999996,13.736016689660845
Kleinzschachwitz,01259,51.009631,13.854418
Klotzsche,01109,51.1181509,13.750310488908253
Langebrück,01465,51.13400595,13.844334946983913
Laubegast,"01259, 01279",51.0252992,13.830707318673237
Leipziger Vorstadt,"01097, 01099, 01127",51.0742716,13.7456304
Leuben,"01237, 01257, 01259, 01279",51.0107308,13.8272075
Leubnitz-Neuostra,"01217, 01219, 01237, 01239",51.0116404,13.76819176716852
Löbtau-Nord,"01157, 01159, 01187",51.0446364,13.700545150871612
Löbtau-Süd,"01159, 01187",51.03637445,13.700389984350867
Lockwitz,"01239, 01257, 01259",50.9913398,13.803585131029113
Loschwitz/Wachwitz,"01099, 01324, 01326",51.04961435,13.823116831005645
Mickten,"01127, 01139",51.07692485,13.699905615392302
Mobschatz,01156,51.06544185,13.626851898031418
Naußlitz,"01159, 01169, 01187, 01189",51.0288741,13.681736125848428
Niedersedlitz,"01239, 01257, 01259",50.9989308,13.814592593226756
Oberwartha,01156,51.0775789,13.598405249554485
Pieschen-Nord/Trachenberge,"01097, 01127, 01129",51.086643249999995,13.727397289989877
Pieschen-Süd,"01127, 01139",51.07689035,13.722700261586017
Pirnaische Vorstadt,"01069, 01307",51.0489849,13.7495667
Plauen,"01187, 01189",51.026885,13.70813763950722
Prohlis-Nord,"01237, 01239",51.0087795,13.794239419061554
Prohlis-Süd,01239,51.0035759,13.798665323862071
Räcknitz/Zschertnitz,"01069, 01187, 01189, 01217, 01219",51.0243586,13.735545574540934
Radeberger Vorstadt,01099,51.068726850000004,13.777468809423313
Reick,"01237, 01239",51.01346225,13.79295578557403
Schönborn,01465,51.1465332,13.861332077687177
Schönfeld/Schullwitz,01328,51.0418654,13.923041915560956
Seevorstadt-Ost/Großer Garten,"01069, 01219, 01277, 01307, 01309",51.0374516,13.75856594309137
Seidnitz/Dobritz,"01237, 01277, 01279",51.02277165,13.802380774550848
Strehlen,"01217, 01219, 01237",51.024627949999996,13.767097443172716
Striesen-Ost,"01277, 01309",51.04239315,13.802157119864669
Striesen-Süd,"01277, 01307, 01309",51.041673599999996,13.783662873948911
Striesen-West,"01307, 01309",51.048648650000004,13.78263331415516
Südvorstadt-Ost,"01069, 01217, 01219",51.0326719,13.739747480718586
Südvorstadt-West,"01069, 01187",51.0350878,13.72052626014214
Tolkewitz/Seidnitz-Nord,"01277, 01279",51.03409155,13.817731336336923
Trachau,"01129, 01139",51.10023495,13.702965985671675
Weißig,01328,51.060894149999996,13.897644449935346
Weixdorf,01108,51.15280065,13.791665819642855
Wilsdruffer Vorstadt/Seevorstadt-West,"01067, 01069, 01159",51.05031405,13.724838973313783
