,Neighborhood,Venue,place_id,latitude,longitude,place_type
0,Albertstadt,Fuchsbau Studio,ChIJTXvQotnOCUcRtu6r4gI_QPU,51.08449,13.76872,electronics_store
1,Albertstadt,Zoundhouse Dresden GmbH & Co. KG,ChIJSzG2JtnOCUcRLJRAaRyRdZQ,51.08408499999999,13.764628,electronics_store
2,Albertstadt,K & K Computersysteme GmbH,ChIJzxuMK9jOCUcRbzN-B1B1AhA,51.08449,13.76872,electronics_store
3,Albertstadt,Klangbüro Dresden,ChIJ5U3FCtnOCUcRsSsu3OuIL84,51.0849807,13.7672852,electronics_store
4,Albertstadt,Autolackiererei D. Stark & Sohn GbR,ChIJBT-bXyfPCUcR58cokvEFwkU,51.08114,13.7640999,car_dealer
5,Albertstadt,LeckereyMobil,ChIJc61o28PPCUcRBDIS25rqx2k,51.08561940000001,13.766036,cafe
6,Albertstadt,Café Moka,ChIJq6o6M9nOCUcRNJraVyj9Z-I,51.08469900000001,13.7642719,cafe
7,Albertstadt,Oldtimervermietung Dresden,ChIJN6bONr3MCUcRM2o_RK6uscw,51.0847898,13.7671567,car_rental
8,Albertstadt,novax Premium Refinish,ChIJfZv3t9nOCUcRhF02Iln6J2w,51.0838755,13.7693372,car_repair
9,Albertstadt,Folien Dresden Premium Folierung,ChIJFzeDmtnOCUcRi4JTo2EE5Mw,51.084487,13.7697391,car_repair
10,Albertstadt,Erics Karosserieschmiede,ChIJJS3rjtnOCUcRZqZODBZfL3g,51.0853961,13.7695318,car_repair
11,Albertstadt,Ralf Meißner Autoglasservice,ChIJF8re1tTPCUcRLKbIjs44UPo,51.084446,13.76978299999999,car_repair
12,Albertstadt,Autolackiererei D. Stark & Sohn GbR,ChIJBT-bXyfPCUcR58cokvEFwkU,51.08114,13.7640999,car_repair
13,Albertstadt,Auto-WINTER / Kfz-Meisterbetrieb,ChIJJx2cxd7OCUcRka0HlK7JPRc,51.0848448,13.7626719,car_repair
14,Albertstadt,Ladestation e-Fahrzeuge,ChIJKUuH6brPCUcRUpEK_mUNJeo,51.084328,13.7682145,gas_station
15,Albertstadt,Stadt BornaKrankenhaus Borna,ChIJtZZ06N7OCUcRHOUHZaQeUpA,51.0847507,13.7622473,hospital
16,Albertstadt,Dresdner Heide - Sanddüne,ChIJ0flT-ifPCUcRkz-LcsbmUJs,51.08016039999999,13.7686781,park
17,Albertstadt,heimgruen,ChIJr4SfuN7OCUcRD1v2joWIEp0,51.08529000000001,13.76323,park
18,Albertstadt,Thienel Dental e.K.,ChIJJx2cxd7OCUcRNupmCCXKLgc,51.08471999999999,13.76323,dentist
19,Albertstadt,al dente group GmbH & Co. KG Cateringservice & Eventmanagement,ChIJr4SfuN7OCUcRn4IvvG7SY9c,51.0852938,13.7632109,restaurant
20,Albertstadt,Akademie Deutsches Bäckerhandwerk Sachsen e.V.,ChIJ82xaM9jOCUcRlPlJngHbKeQ,51.08315,13.76954,school
21,Albertstadt,Thienel Dental e.K.,ChIJJx2cxd7OCUcRNupmCCXKLgc,51.08471999999999,13.76323,doctor
22,Altfranken,Friseursalon Kliebenstein,ChIJX8AoTcKQcUER6HGtWvFo8eM,51.03422719999999,13.6455043,hair_care
23,Altfranken,Fox Party DJ Team (DJ Kai),ChIJsdDPWErFCUcRarv3UwPvtlg,51.03315,13.64559,night_club
24,Altfranken,Luckner Park,ChIJsWSyTErFCUcRztkj0ZwPluQ,51.0338389,13.6468517,park
25,Altfranken,Enotria da Miri im Lucknerpark,ChIJvxViDabFCUcRPH7v0LJfE3Y,51.0344024,13.6475221,restaurant
26,Äußere Neustadt,GBZ Emmaus Dresden,ChIJUde9cT7PCUcRjT8HpSkeU_Y,51.06635,13.75002,church
27,Äußere Neustadt,Neuapostolische Kirche Dresden-Neustadt,ChIJUf8Oz5DPCUcRFYu_kYL1ogM,51.0646123,13.7547093,church
28,Äußere Neustadt,Bunte Kirche Neustadt,ChIJg6KpfDvPCUcRc2M9hwH2-hQ,51.0693509,13.7569878,church
29,Äußere Neustadt,Ev.-Luth. Kirchspiel Dresden-Neustadt,ChIJVzBkEjnPCUcRB3Sj8Hm_gTk,51.0645779,13.7567796,church
30,Äußere Neustadt,Evangelisch-Lutherischer Kirchenbezirk Dresden Nord,ChIJT-pZEjnPCUcRY-KIiNy3Duo,51.0645902,13.7567686,church
31,Äußere Neustadt,Kirchspiel Dresden-Neustadt,ChIJpQ1aEjnPCUcRy2c_JXDUvXA,51.0645669,13.7567509,church
32,Äußere Neustadt,Martin Luther Kirche,ChIJGW8RDznPCUcRMTFZTsZMjHg,51.0641328,13.7570394,church
33,Äußere Neustadt,Konitz Barbara,ChIJJYc6YzzPCUcRwuKGE9AkRNg,51.0687226,13.7552438,clothing_store
34,Äußere Neustadt,Lolakids - Kinderladen Dresden,ChIJVQ_u7z3PCUcRVc6Ssn2NpJo,51.0678974,13.7485398,clothing_store
