JID,Composition,Spg.numb.,Spg.symb.,Cryst.,Dimensionality,OPT SCF gap, MBJ gap,n-Seebeck,p-Seebeck,n-powerfact,p-powerfact,n-cond,p-cond,n-ZT,p-ZT,Avg.elec.mass,Avg.hole mass,n-mp-Seeb,p-mp-Seeb
JVASP-11946,CoNi,221,Pm-3m,cubic,3D,0.0014,na,0.96188757,1.2227618,4.700324261,7.596687051,5080181.1,5080898.4,3.21E-05,5.19E-05,6.02E-07,6.02E-07,na,na
JVASP-11947,Co3Ni,221,Pm-3m,cubic,3D,0.002,na,-10.482988,-10.485942,806.7196007,806.0527088,7340952.8,7330752.2,0.004465057,0.004464375,3.85E-07,3.85E-07,na,na
JVASP-11948,NbCo,221,Pm-3m,cubic,3D,0.006,na,6.9342281,7.3225674,228.848702,255.5678857,4759400,4766279.7,0.001691403,0.001890448,6.20E-07,6.20E-07,na,na
JVASP-11949,MgNi,221,Pm-3m,cubic,3D,0.0098,na,-33.241584,-33.659304,7516.497514,7626.886106,6802242.3,6731889.8,0.046989978,0.04804236,4.16E-07,4.16E-07,na,na
JVASP-11950,Al3Ni2,164,P-3m1,trigonal,3D,0.0142,na,0.833245087,0.807616977,4.31775331,4.464905473,5916231.033,5917223.3,2.83E-05,2.80E-05,4.95E-07,4.95E-07,1.443050267,1.353046533
JVASP-11953,NbNi3,139,I4/mmm,tetragonal,3D,0.0006,na,2.006512653,1.833511433,205.4282182,203.1611864,3450503.333,3450054.967,0.003645851,0.003553748,9.15E-07,9.15E-07,na,na
JVASP-11954,Mg13Al14,229,Im-3m,cubic,3D,0.0042,na,3.981945867,3.7005726,74.93480126,64.84009273,4725990.633,4734845.033,0.000653523,0.000562821,5.86E-07,5.86E-07,17.640398,17.762641
JVASP-11955,NbNi3,59,Pmmn,orthorhombic,3D,0.0053,na,1.321524267,1.290184,774.8556367,763.0625631,2246799.967,2246857.667,0.012462749,0.012311992,1.33E-06,1.33E-06,2.534521667,2.515014333
JVASP-11956,AlNi,221,Pm-3m,cubic,3D,0.0123,na,-3.9860994,-4.090311,173.8669242,182.7709097,10942605,10924320,0.000656798,0.000691664,2.57E-07,2.57E-07,na,na
JVASP-11958,Al9Co2,14,P2_1/c,monoclinic,3D,0.0026,na,-8.47252437,-8.33080938,247.866275,274.2867305,1717150.347,1707805.707,0.006272151,0.006760574,1.98E-06,1.98E-06,-6.394497067,-6.0888062
